region,CIDR,VPCID
"eu-north-1b","172.31.32.0/20","vpc-33028f5a"
"eu-north-1a","172.31.16.0/20","vpc-33028f5a"
"eu-north-1c","172.31.0.0/20","vpc-33028f5a"
"ap-south-1a","172.31.32.0/20","vpc-c033f7ab"
"ap-south-1b","172.31.0.0/20","vpc-c033f7ab"
"ap-south-1c","172.31.16.0/20","vpc-c033f7ab"
"eu-west-3b","172.31.16.0/20","vpc-6164a009"
"eu-west-3c","172.31.32.0/20","vpc-6164a009"
"eu-west-3a","172.31.0.0/20","vpc-6164a009"
"eu-west-2c","172.31.0.0/20","vpc-e0436188"
"eu-west-2b","172.31.32.0/20","vpc-e0436188"
"eu-west-2a","172.31.16.0/20","vpc-e0436188"
"eu-west-1a","172.31.32.0/20","vpc-222c8d5b"
"eu-west-1c","172.31.16.0/20","vpc-222c8d5b"
"eu-west-1b","172.31.0.0/20","vpc-222c8d5b"
"ap-northeast-3b","172.31.16.0/20","vpc-a5a4d4cc"
"ap-northeast-3a","172.31.32.0/20","vpc-a5a4d4cc"
"ap-northeast-3c","172.31.0.0/20","vpc-a5a4d4cc"
"ap-northeast-2d","172.31.48.0/20","vpc-6ded6306"
"ap-northeast-2a","172.31.0.0/20","vpc-6ded6306"
"ap-northeast-2b","172.31.16.0/20","vpc-6ded6306"
"ap-northeast-2c","172.31.32.0/20","vpc-6ded6306"
"ap-northeast-1a","172.31.32.0/20","vpc-7b72841d"
"ap-northeast-1d","172.31.16.0/20","vpc-7b72841d"
"ap-northeast-1c","172.31.0.0/20","vpc-7b72841d"
"sa-east-1a","172.31.0.0/20","vpc-007a8466"
"sa-east-1b","172.31.16.0/20","vpc-007a8466"
"sa-east-1c","172.31.32.0/20","vpc-007a8466"
"ca-central-1d","172.31.32.0/20","vpc-3b8abc53"
"ca-central-1a","172.31.16.0/20","vpc-3b8abc53"
"ca-central-1b","172.31.0.0/20","vpc-3b8abc53"
"ap-southeast-1a","172.31.32.0/20","vpc-a1d711c7"
"ap-southeast-1b","172.31.16.0/20","vpc-a1d711c7"
"ap-southeast-1c","172.31.0.0/20","vpc-a1d711c7"
"ap-southeast-2c","10.20.2.0/24","vpc-0a6d4142eb0b78072"
"ap-southeast-2c","172.31.16.0/20","vpc-a3f41fc5"
"ap-southeast-2b","172.31.32.0/20","vpc-a3f41fc5"
"ap-southeast-2b","10.20.1.0/24","vpc-0a6d4142eb0b78072"
"ap-southeast-2a","10.1.0.0/24","vpc-065b2aa863d52c8ae"
"ap-southeast-2a","172.31.0.0/20","vpc-a3f41fc5"
"ap-southeast-2c","10.1.2.0/24","vpc-065b2aa863d52c8ae"
"ap-southeast-2a","10.20.0.0/24","vpc-0a6d4142eb0b78072"
"ap-southeast-2b","10.1.1.0/24","vpc-065b2aa863d52c8ae"
"eu-central-1a","172.31.16.0/20","vpc-a541d0cf"
"eu-central-1b","172.31.32.0/20","vpc-a541d0cf"
"eu-central-1c","172.31.0.0/20","vpc-a541d0cf"
"us-east-1d","172.31.16.0/20","vpc-292ba754"
"us-east-1b","172.31.0.0/20","vpc-292ba754"
"us-east-1a","172.31.32.0/20","vpc-292ba754"
"us-east-1c","172.31.80.0/20","vpc-292ba754"
"us-east-1f","172.31.64.0/20","vpc-292ba754"
"us-east-1e","172.31.48.0/20","vpc-292ba754"
"us-east-2a","172.31.0.0/20","vpc-d6fb6cbd"
"us-east-2c","172.31.32.0/20","vpc-d6fb6cbd"
"us-east-2b","172.31.16.0/20","vpc-d6fb6cbd"
"us-west-1c","172.31.0.0/20","vpc-212df447"
"us-west-1a","172.31.16.0/20","vpc-212df447"
"us-west-2d","172.31.48.0/20","vpc-d47c54ac"
"us-west-2b","172.31.16.0/20","vpc-d47c54ac"
"us-west-2c","172.31.0.0/20","vpc-d47c54ac"
"us-west-2a","172.31.32.0/20","vpc-d47c54ac"
